광역시,시/군/구,동/읍,운동 종류,센터 이름,주소,전화번호,운영 시간,,운동 종류 예시,,용산구,센터 개수
서울특별시,용산구,이태원1동,필라테스,,,,,,,,,
서울특별시,용산구,이태원1동,필라테스,,,,,,,,,
서울특별시,용산구,이태원1동,요가,,,,,,,,,
서울특별시,용산구,이태원1동,요가,,,,,,,,,
서울특별시,용산구,이태원1동,크로스핏,,,,,,,,,
서울특별시,용산구,이태원1동,크로스핏,,,,,,,,,
서울특별시,용산구,이태원1동,골프,,,,,,,,,
서울특별시,용산구,이태원1동,골프,,,,,,,,,
서울특별시,용산구,이태원1동,복싱,,,,,,,,,
서울특별시,용산구,이태원1동,복싱,,,,,,,,,
서울특별시,용산구,이태원1동,수영,,,,,,,,,
서울특별시,용산구,이태원1동,수영,,,,,,,,,
서울특별시,용산구,이태원1동,클라이밍,,,,,,,,,
서울특별시,용산구,이태원1동,클라이밍,,,,,,,,,
서울특별시,용산구,한남동,PT&헬스,,,,,,,,,
서울특별시,용산구,한남동,PT&헬스,,,,,,,,,
서울특별시,용산구,한남동,테니스&배드민턴,,,,,,,,,
서울특별시,용산구,한남동,테니스&배드민턴,,,,,,,,,
서울특별시,용산구,한남동,필라테스,,,,,,,,,
서울특별시,용산구,한남동,필라테스,,,,,,,,,
서울특별시,용산구,한남동,요가,,,,,,,,,
서울특별시,용산구,한남동,요가,,,,,,,,,
서울특별시,용산구,한남동,크로스핏,,,,,,,,,
서울특별시,용산구,한남동,크로스핏,,,,,,,,,
서울특별시,용산구,한남동,골프,,,,,,,,,
서울특별시,용산구,한남동,골프,,,,,,,,,
서울특별시,용산구,한남동,복싱,,,,,,,,,
서울특별시,용산구,한남동,복싱,,,,,,,,,
서울특별시,용산구,한남동,수영,,,,,,,,,
서울특별시,용산구,한남동,수영,,,,,,,,,
서울특별시,용산구,한남동,클라이밍,,,,,,,,,
서울특별시,용산구,한남동,클라이밍,,,,,,,,,
